segment_id	segment_text	discourse	paragraph_id	sentence_id	nikaya	discourse_num	sutta_title
sn1.3:3.4	a seeker of peace would drop the world’s bait.”	sn1.3	3	4	sn	1.3	 Led On 
sn1.4:1.1	At Sāvatthī.	sn1.4	1	1	sn	1.4	 Time Flies 
sn1.4:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.4	1	2	sn	1.4	 Time Flies 
sn1.4:2.1	“Time flies, nights pass by,	sn1.4	2	1	sn	1.4	 Time Flies 
sn1.4:2.2	the stages of life leave us one by one.	sn1.4	2	2	sn	1.4	 Time Flies 
sn1.4:2.3	Seeing this peril in death,	sn1.4	2	3	sn	1.4	 Time Flies 
sn1.4:2.4	do good deeds that bring you to joy.”	sn1.4	2	4	sn	1.4	 Time Flies 
sn1.4:3.1	“Time flies, nights pass by,	sn1.4	3	1	sn	1.4	 Time Flies 
sn1.4:3.2	the stages of life leave us one by one.	sn1.4	3	2	sn	1.4	 Time Flies 
sn1.4:3.3	Seeing this peril in death,	sn1.4	3	3	sn	1.4	 Time Flies 
sn1.4:3.4	a seeker of peace would drop the world’s bait.”	sn1.4	3	4	sn	1.4	 Time Flies 
sn1.5:1.1	At Sāvatthī.	sn1.5	1	1	sn	1.5	 Cut How Many? 
sn1.5:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.5	1	2	sn	1.5	 Cut How Many? 
sn1.5:2.1	“Cut how many? Drop how many?	sn1.5	2	1	sn	1.5	 Cut How Many? 
sn1.5:2.2	How many more should be developed?	sn1.5	2	2	sn	1.5	 Cut How Many? 
sn1.5:2.3	How many chains must a mendicant escape	sn1.5	2	3	sn	1.5	 Cut How Many? 
sn1.5:2.4	before you call them a flood-crosser?”	sn1.5	2	4	sn	1.5	 Cut How Many? 
sn1.5:3.1	“Five to cut, five to drop,	sn1.5	3	1	sn	1.5	 Cut How Many? 
sn1.5:3.2	and five more to develop.	sn1.5	3	2	sn	1.5	 Cut How Many? 
sn1.5:3.3	A mendicant must escape five chains	sn1.5	3	3	sn	1.5	 Cut How Many? 
sn1.5:3.4	before you call them a flood-crosser.”	sn1.5	3	4	sn	1.5	 Cut How Many? 
sn1.6:1.1	At Sāvatthī.	sn1.6	1	1	sn	1.6	 Awake 
sn1.6:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.6	1	2	sn	1.6	 Awake 
sn1.6:2.1	“How many sleep while others wake?	sn1.6	2	1	sn	1.6	 Awake 
sn1.6:2.2	How many wake among the sleeping?	sn1.6	2	2	sn	1.6	 Awake 
sn1.6:2.3	By how many do you gather dust?	sn1.6	2	3	sn	1.6	 Awake 
sn1.6:2.4	By how many are you cleansed?”	sn1.6	2	4	sn	1.6	 Awake 
sn1.6:3.1	“Five sleep while others wake.	sn1.6	3	1	sn	1.6	 Awake 
sn1.6:3.2	Five wake among the sleeping.	sn1.6	3	2	sn	1.6	 Awake 
sn1.6:3.3	By five you gather dust.	sn1.6	3	3	sn	1.6	 Awake 
sn1.6:3.4	By five you’re cleansed.”	sn1.6	3	4	sn	1.6	 Awake 
sn1.7:1.1	At Sāvatthī.	sn1.7	1	1	sn	1.7	 Not Comprehending 
sn1.7:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.7	1	2	sn	1.7	 Not Comprehending 
sn1.7:2.1	“Those who don’t comprehend the teachings,	sn1.7	2	1	sn	1.7	 Not Comprehending 
sn1.7:2.2	who may be led astray by the doctrines of others;	sn1.7	2	2	sn	1.7	 Not Comprehending 
sn1.7:2.3	asleep, they have not woken up:	sn1.7	2	3	sn	1.7	 Not Comprehending 
sn1.7:2.4	it is time for them to wake!”	sn1.7	2	4	sn	1.7	 Not Comprehending 
sn1.7:3.1	“Those who clearly comprehend the teachings,	sn1.7	3	1	sn	1.7	 Not Comprehending 
sn1.7:3.2	who won’t be led astray by the doctrines of others;	sn1.7	3	2	sn	1.7	 Not Comprehending 
sn1.7:3.3	they’ve woken up, they rightly know,	sn1.7	3	3	sn	1.7	 Not Comprehending 
sn1.7:3.4	they live smoothly in the rough.”	sn1.7	3	4	sn	1.7	 Not Comprehending 
sn1.8:1.1	At Sāvatthī.	sn1.8	1	1	sn	1.8	 Very Confused 
sn1.8:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.8	1	2	sn	1.8	 Very Confused 
sn1.8:2.1	“Those who are very confused about the teachings,	sn1.8	2	1	sn	1.8	 Very Confused 
sn1.8:2.2	who may be led astray by the doctrines of others;	sn1.8	2	2	sn	1.8	 Very Confused 
sn1.8:2.3	asleep, they have not woken up:	sn1.8	2	3	sn	1.8	 Very Confused 
sn1.8:2.4	it is time for them to wake!”	sn1.8	2	4	sn	1.8	 Very Confused 
sn1.8:3.1	“Those who are unconfused about the teachings,	sn1.8	3	1	sn	1.8	 Very Confused 
sn1.8:3.2	who won’t be led astray by the doctrines of others;	sn1.8	3	2	sn	1.8	 Very Confused 
sn1.8:3.3	they’ve woken up, they rightly know,	sn1.8	3	3	sn	1.8	 Very Confused 
sn1.8:3.4	they live smoothly in the rough.”	sn1.8	3	4	sn	1.8	 Very Confused 
sn1.9:1.1	At Sāvatthī.	sn1.9	1	1	sn	1.9	 Fond of Conceit 
sn1.9:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.9	1	2	sn	1.9	 Fond of Conceit 
sn1.9:2.1	“Someone who’s fond of conceit can’t be tamed,	sn1.9	2	1	sn	1.9	 Fond of Conceit 
sn1.9:2.2	and someone lacking serenity can’t be a sage.	sn1.9	2	2	sn	1.9	 Fond of Conceit 
sn1.9:2.3	Living negligent alone in the wilderness,	sn1.9	2	3	sn	1.9	 Fond of Conceit 
sn1.9:2.4	they can’t pass beyond Death’s domain.”	sn1.9	2	4	sn	1.9	 Fond of Conceit 
sn1.9:3.1	“Having given up conceit, serene within oneself,	sn1.9	3	1	sn	1.9	 Fond of Conceit 
sn1.9:3.2	with a healthy heart, everywhere free;	sn1.9	3	2	sn	1.9	 Fond of Conceit 
sn1.9:3.3	living diligent alone in the wilderness,	sn1.9	3	3	sn	1.9	 Fond of Conceit 
sn1.9:3.4	they pass beyond Death’s domain.”	sn1.9	3	4	sn	1.9	 Fond of Conceit 
sn1.10:1.1	At Sāvatthī.	sn1.10	1	1	sn	1.10	 Wilderness 
sn1.10:1.2	Standing to one side, that deity addressed the Buddha in verse:	sn1.10	1	2	sn	1.10	 Wilderness 
sn1.10:2.1	“Living in the wilderness,	sn1.10	2	1	sn	1.10	 Wilderness 
sn1.10:2.2	peaceful spiritual practitioners	sn1.10	2	2	sn	1.10	 Wilderness 
sn1.10:2.3	eat just one meal a day:	sn1.10	2	3	sn	1.10	 Wilderness 
sn1.10:2.4	so why is their complexion so clear?”	sn1.10	2	4	sn	1.10	 Wilderness 
sn1.10:3.1	“They don’t worry about the past,	sn1.10	3	1	sn	1.10	 Wilderness 
sn1.10:3.2	nor do they long for the future;	sn1.10	3	2	sn	1.10	 Wilderness 
sn1.10:3.3	they feed on whatever comes that day,	sn1.10	3	3	sn	1.10	 Wilderness 
sn1.10:3.4	that’s why their complexion’s so clear.	sn1.10	3	4	sn	1.10	 Wilderness 
sn1.10:4.1	Because they long for the future,	sn1.10	4	1	sn	1.10	 Wilderness 
sn1.10:4.2	and worry about the past,	sn1.10	4	2	sn	1.10	 Wilderness 
sn1.10:4.3	fools wither away,	sn1.10	4	3	sn	1.10	 Wilderness 
sn1.10:4.4	like a green reed mowed down.”	sn1.10	4	4	sn	1.10	 Wilderness 
sn1.11:1.1	So I have heard.	sn1.11	1	1	sn	1.11	 The Garden of Delight 
sn1.11:1.2	At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s Monastery.	sn1.11	1	2	sn	1.11	 The Garden of Delight 
sn1.11:1.3	There the Buddha addressed the mendicants,	sn1.11	1	3	sn	1.11	 The Garden of Delight 
sn1.11:1.4	“Mendicants!”	sn1.11	1	4	sn	1.11	 The Garden of Delight 
sn1.11:1.5	“Venerable sir,” they replied.	sn1.11	1	5	sn	1.11	 The Garden of Delight 
sn1.11:1.6	The Buddha said this:	sn1.11	1	6	sn	1.11	 The Garden of Delight 
sn1.11:2.1	“Once upon a time, mendicants, a certain deity of the company of the Thirty-Three was amusing themselves in the Garden of Delight, escorted by a band of nymphs, and supplied and provided with the five kinds of heavenly sensual stimulation. On that occasion they recited this verse:	sn1.11	2	1	sn	1.11	 The Garden of Delight 
sn1.11:3.1	‘They don’t know pleasure	sn1.11	3	1	sn	1.11	 The Garden of Delight 
sn1.11:3.2	who don’t see the Garden of Delight!	sn1.11	3	2	sn	1.11	 The Garden of Delight 
sn1.11:3.3	It’s the abode of lordly gods,	sn1.11	3	3	sn	1.11	 The Garden of Delight 
sn1.11:3.4	the glorious host of Thirty!’	sn1.11	3	4	sn	1.11	 The Garden of Delight 
sn1.11:4.1	When they had spoken, another deity replied with this verse:	sn1.11	4	1	sn	1.11	 The Garden of Delight 
sn1.11:5.1	‘Fool, don’t you understand	sn1.11	5	1	sn	1.11	 The Garden of Delight 
sn1.11:5.2	the saying of the perfected ones:	sn1.11	5	2	sn	1.11	 The Garden of Delight 
sn1.11:5.3	All conditions are impermanent,	sn1.11	5	3	sn	1.11	 The Garden of Delight 
sn1.11:5.4	their nature is to rise and fall;	sn1.11	5	4	sn	1.11	 The Garden of Delight 
sn1.11:5.5	having arisen, they cease;	sn1.11	5	5	sn	1.11	 The Garden of Delight 
sn1.11:5.6	their stilling is true bliss.’”	sn1.11	5	6	sn	1.11	 The Garden of Delight 
sn1.12:1.1	At Sāvatthī.	sn1.12	1	1	sn	1.12	 Delight 
sn1.12:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.12	1	2	sn	1.12	 Delight 
sn1.12:2.1	“Your children bring you delight!	sn1.12	2	1	sn	1.12	 Delight 
sn1.12:2.2	Your cattle also bring you delight!	sn1.12	2	2	sn	1.12	 Delight 
sn1.12:2.3	For attachments are a man’s delight;	sn1.12	2	3	sn	1.12	 Delight 
sn1.12:2.4	without attachments there’s no delight.”	sn1.12	2	4	sn	1.12	 Delight 
sn1.12:3.1	“Your children bring you sorrow.	sn1.12	3	1	sn	1.12	 Delight 
sn1.12:3.2	Your cattle also bring you sorrow.	sn1.12	3	2	sn	1.12	 Delight 
sn1.12:3.3	For attachments are a man’s sorrow;	sn1.12	3	3	sn	1.12	 Delight 
sn1.12:3.4	without attachments there are no sorrows.”	sn1.12	3	4	sn	1.12	 Delight 
sn1.13:1.1	At Sāvatthī.	sn1.13	1	1	sn	1.13	 There’s Nothing Like a Child 
sn1.13:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.13	1	2	sn	1.13	 There’s Nothing Like a Child 
sn1.13:2.1	“There’s no love like that for a child,	sn1.13	2	1	sn	1.13	 There’s Nothing Like a Child 
sn1.13:2.2	no wealth equal to cattle,	sn1.13	2	2	sn	1.13	 There’s Nothing Like a Child 
sn1.13:2.3	no light like that of the sun,	sn1.13	2	3	sn	1.13	 There’s Nothing Like a Child 
sn1.13:2.4	and of waters the ocean is paramount.”	sn1.13	2	4	sn	1.13	 There’s Nothing Like a Child 
sn1.13:3.1	“There’s no love like that for oneself,	sn1.13	3	1	sn	1.13	 There’s Nothing Like a Child 
sn1.13:3.2	no wealth equal to grain,	sn1.13	3	2	sn	1.13	 There’s Nothing Like a Child 
sn1.13:3.3	no light like that of wisdom,	sn1.13	3	3	sn	1.13	 There’s Nothing Like a Child 
sn1.13:3.4	and of waters the rain is paramount.”	sn1.13	3	4	sn	1.13	 There’s Nothing Like a Child 
sn1.14:1.1	“An aristocrat is the best of bipeds,	sn1.14	1	1	sn	1.14	 Aristocrats 
sn1.14:1.2	an ox is the best of quadrupeds,	sn1.14	1	2	sn	1.14	 Aristocrats 
sn1.14:1.3	a maiden is the best of wives,	sn1.14	1	3	sn	1.14	 Aristocrats 
sn1.14:1.4	and a first-born the best of sons.”	sn1.14	1	4	sn	1.14	 Aristocrats 
sn1.14:2.1	“A Buddha is the best of bipeds,	sn1.14	2	1	sn	1.14	 Aristocrats 
sn1.14:2.2	a thoroughbred, the best of quadrupeds,	sn1.14	2	2	sn	1.14	 Aristocrats 
sn1.14:2.3	a good listener is the best of wives,	sn1.14	2	3	sn	1.14	 Aristocrats 
sn1.14:2.4	and the best of sons is loyal.”	sn1.14	2	4	sn	1.14	 Aristocrats 
sn1.15:1.1	“In the still of high noon,	sn1.15	1	1	sn	1.15	 Whispering 
sn1.15:1.2	when the birds have settled down,	sn1.15	1	2	sn	1.15	 Whispering 
sn1.15:1.3	the formidable jungle whispers to itself:	sn1.15	1	3	sn	1.15	 Whispering 
sn1.15:1.4	that seems so scary to me!”	sn1.15	1	4	sn	1.15	 Whispering 
sn1.15:2.1	“In the still of high noon,	sn1.15	2	1	sn	1.15	 Whispering 
sn1.15:2.2	when the birds have settled down,	sn1.15	2	2	sn	1.15	 Whispering 
sn1.15:2.3	the formidable jungle whispers to itself:	sn1.15	2	3	sn	1.15	 Whispering 
sn1.15:2.4	that seems so delightful to me!”	sn1.15	2	4	sn	1.15	 Whispering 
sn1.16:1.1	“Sleepiness, sloth, and yawning,	sn1.16	1	1	sn	1.16	 Sleepiness and Sloth 
sn1.16:1.2	discontent, and grogginess after eating:	sn1.16	1	2	sn	1.16	 Sleepiness and Sloth 
sn1.16:1.3	because of this the noble path	sn1.16	1	3	sn	1.16	 Sleepiness and Sloth 
sn1.16:1.4	doesn’t shine for creatures here.”	sn1.16	1	4	sn	1.16	 Sleepiness and Sloth 
sn1.16:2.1	“Sleepiness, sloth, and yawning,	sn1.16	2	1	sn	1.16	 Sleepiness and Sloth 
sn1.16:2.2	discontent, and grogginess after eating:	sn1.16	2	2	sn	1.16	 Sleepiness and Sloth 
sn1.16:2.3	when this is energetically fended off,	sn1.16	2	3	sn	1.16	 Sleepiness and Sloth 
sn1.16:2.4	the noble path is purified.”	sn1.16	2	4	sn	1.16	 Sleepiness and Sloth 
sn1.17:1.1	“Hard to do, hard to endure,	sn1.17	1	1	sn	1.17	 Hard to Do 
sn1.17:1.2	is the ascetic life for the inept,	sn1.17	1	2	sn	1.17	 Hard to Do 
sn1.17:1.3	for it has many narrow passes	sn1.17	1	3	sn	1.17	 Hard to Do 
sn1.17:1.4	where the fool founders.”	sn1.17	1	4	sn	1.17	 Hard to Do 
sn1.17:2.1	“How many days could an ascetic live	sn1.17	2	1	sn	1.17	 Hard to Do 
sn1.17:2.2	without controlling the mind?	sn1.17	2	2	sn	1.17	 Hard to Do 
sn1.17:2.3	They’d founder with each step,	sn1.17	2	3	sn	1.17	 Hard to Do 
sn1.17:2.4	under the sway of thoughts.	sn1.17	2	4	sn	1.17	 Hard to Do 
sn1.17:3.1	A mendicant should collect their thoughts	sn1.17	3	1	sn	1.17	 Hard to Do 
sn1.17:3.2	as a tortoise draws its limbs into its shell.	sn1.17	3	2	sn	1.17	 Hard to Do 
sn1.17:3.3	Independent, not disturbing others,	sn1.17	3	3	sn	1.17	 Hard to Do 
sn1.17:3.4	quenched: they wouldn’t blame anyone.”	sn1.17	3	4	sn	1.17	 Hard to Do 
sn1.18:1.1	“Can a person constrained by conscience	sn1.18	1	1	sn	1.18	 Conscience 
sn1.18:1.2	be found in the world?	sn1.18	1	2	sn	1.18	 Conscience 
sn1.18:1.3	Who shies away from blame,	sn1.18	1	3	sn	1.18	 Conscience 
sn1.18:1.4	like a fine horse from the whip?”	sn1.18	1	4	sn	1.18	 Conscience 
sn1.18:2.1	“Few are those constrained by conscience,	sn1.18	2	1	sn	1.18	 Conscience 
sn1.18:2.2	who live always mindful.	sn1.18	2	2	sn	1.18	 Conscience 
sn1.18:2.3	Having reached the end of suffering,	sn1.18	2	3	sn	1.18	 Conscience 
sn1.18:2.4	they live smoothly in the rough.”	sn1.18	2	4	sn	1.18	 Conscience 
sn1.19:1.1	“Don’t you have a little hut?	sn1.19	1	1	sn	1.19	 Little Hut 
sn1.19:1.2	Don’t you have a little nest?	sn1.19	1	2	sn	1.19	 Little Hut 
sn1.19:1.3	Don’t you have any networks?	sn1.19	1	3	sn	1.19	 Little Hut 
sn1.19:1.4	Aren’t you free of shackles?”	sn1.19	1	4	sn	1.19	 Little Hut 
sn1.19:2.1	“Indeed I have no little hut.	sn1.19	2	1	sn	1.19	 Little Hut 
sn1.19:2.2	Indeed I have no little nest.	sn1.19	2	2	sn	1.19	 Little Hut 
sn1.19:2.3	Indeed I have no networks.	sn1.19	2	3	sn	1.19	 Little Hut 
sn1.19:2.4	Indeed I’m free from shackles.”	sn1.19	2	4	sn	1.19	 Little Hut 
sn1.19:3.1	“What do you think I call a little hut?	sn1.19	3	1	sn	1.19	 Little Hut 
sn1.19:3.2	What do I call a little nest?	sn1.19	3	2	sn	1.19	 Little Hut 
sn1.19:3.3	What do you think I call a network?	sn1.19	3	3	sn	1.19	 Little Hut 
sn1.19:3.4	And what do I call a shackle?”	sn1.19	3	4	sn	1.19	 Little Hut 
sn1.19:4.1	“You call a mother a little hut;	sn1.19	4	1	sn	1.19	 Little Hut 
sn1.19:4.2	and a wife a little nest.	sn1.19	4	2	sn	1.19	 Little Hut 
sn1.19:4.3	You call children a network,	sn1.19	4	3	sn	1.19	 Little Hut 
sn1.19:4.4	and you tell me craving’s a shackle.”	sn1.19	4	4	sn	1.19	 Little Hut 
sn1.19:5.1	“It’s good you have no little hut!	sn1.19	5	1	sn	1.19	 Little Hut 
sn1.19:5.2	It’s good you have no little nest!	sn1.19	5	2	sn	1.19	 Little Hut 
sn1.19:5.3	It’s good you have no networks!	sn1.19	5	3	sn	1.19	 Little Hut 
sn1.19:5.4	And good that you’re free from shackles.”	sn1.19	5	4	sn	1.19	 Little Hut 
sn1.20:1.1	So I have heard.	sn1.20	1	1	sn	1.20	 With Samiddhi 
sn1.20:1.2	At one time the Buddha was staying near Rājagaha in the Hot Springs Monastery.	sn1.20	1	2	sn	1.20	 With Samiddhi 
sn1.20:1.3	Then Venerable Samiddhi rose at the crack of dawn and went to the hot springs to bathe.	sn1.20	1	3	sn	1.20	 With Samiddhi 
sn1.20:1.4	When he had bathed and emerged from the water he stood in one robe drying himself.	sn1.20	1	4	sn	1.20	 With Samiddhi 
sn1.20:1.5	Then, late at night, a glorious deity, lighting up the entire hot springs, went up to Samiddhi, and, standing in the air, addressed him in verse:	sn1.20	1	5	sn	1.20	 With Samiddhi 
sn1.20:2.1	“Mendicant, you seek alms before you eat;	sn1.20	2	1	sn	1.20	 With Samiddhi 
sn1.20:2.2	you wouldn’t seek alms after eating.	sn1.20	2	2	sn	1.20	 With Samiddhi 
sn1.20:2.3	But you should eat first, then seek alms:	sn1.20	2	3	sn	1.20	 With Samiddhi 
sn1.20:2.4	don’t let the time pass you by.”	sn1.20	2	4	sn	1.20	 With Samiddhi 
sn1.20:3.1	“I actually don’t know the time;	sn1.20	3	1	sn	1.20	 With Samiddhi 
sn1.20:3.2	it’s hidden and unseen.	sn1.20	3	2	sn	1.20	 With Samiddhi 
sn1.20:3.3	That’s why I seek alms before eating,	sn1.20	3	3	sn	1.20	 With Samiddhi 
sn1.20:3.4	so that the time may not pass me by!”	sn1.20	3	4	sn	1.20	 With Samiddhi 
sn1.20:4.1	Then that deity landed on the ground and said to Samiddhi,	sn1.20	4	1	sn	1.20	 With Samiddhi 
sn1.20:4.2	“You’ve gone forth while young, mendicant. You’re black-haired, blessed with youth, in the prime of life, and you’ve never flirted with sensual pleasures.	sn1.20	4	2	sn	1.20	 With Samiddhi 
sn1.20:4.3	Enjoy human sensual pleasures!	sn1.20	4	3	sn	1.20	 With Samiddhi 
sn1.20:4.4	Don’t give up what is visible in the present to chase after what takes effect over time.”	sn1.20	4	4	sn	1.20	 With Samiddhi 
sn1.20:5.1	“I’m not, good sir;	sn1.20	5	1	sn	1.20	 With Samiddhi 
sn1.20:5.2	I’m giving up what takes effect over time to chase after what is visible in the present.	sn1.20	5	2	sn	1.20	 With Samiddhi 
sn1.20:5.3	For the Buddha has said that sensual pleasures take effect over time, with much suffering and distress, and they’re all the more full of drawbacks.	sn1.20	5	3	sn	1.20	 With Samiddhi 
sn1.20:5.4	But this teaching is visible in this very life, immediately effective, inviting inspection, relevant, so that sensible people can know it for themselves.”	sn1.20	5	4	sn	1.20	 With Samiddhi 
sn1.20:6.1	“But in what way, mendicant, has the Buddha said that sensual pleasures take effect over time, with much suffering and distress, and they’re all the more full of drawbacks?	sn1.20	6	1	sn	1.20	 With Samiddhi 
sn1.20:6.2	And how is this teaching visible in this very life, immediately effective, inviting inspection, relevant, so that sensible people can know it for themselves?”	sn1.20	6	2	sn	1.20	 With Samiddhi 
sn1.20:7.1	“I’m junior, good sir, recently gone forth, newly come to this teaching and training.	sn1.20	7	1	sn	1.20	 With Samiddhi 
sn1.20:7.2	I’m not able to explain this in detail.	sn1.20	7	2	sn	1.20	 With Samiddhi 
sn1.20:7.3	But the Blessed One, the perfected one, the fully awakened Buddha is staying near Rājagaha in the Hot Springs Monatery.	sn1.20	7	3	sn	1.20	 With Samiddhi 
sn1.20:7.4	You should go to him and ask about this matter.	sn1.20	7	4	sn	1.20	 With Samiddhi 
sn1.20:7.5	And you should remember it in line with the Buddha’s answer.”	sn1.20	7	5	sn	1.20	 With Samiddhi 
sn1.20:8.1	“It’s not easy for us to approach the Buddha, as he is surrounded by other illustrious deities.	sn1.20	8	1	sn	1.20	 With Samiddhi 
sn1.20:8.2	If you go to the Buddha and ask him about this matter, we’ll come along and listen to the teaching.”	sn1.20	8	2	sn	1.20	 With Samiddhi 
sn1.20:8.3	“Yes, good sir,” Venerable Samiddhi replied. He went to the Buddha, bowed, sat down to one side, and told him what had happened. Then he added:	sn1.20	8	3	sn	1.20	 With Samiddhi 
sn1.20:17.4	“Sir, if that deity spoke the truth, he’ll be close by.”	sn1.20	17	4	sn	1.20	 With Samiddhi 
sn1.20:18.1	When he had spoken, that deity said to Samiddhi,	sn1.20	18	1	sn	1.20	 With Samiddhi 
sn1.20:18.2	“Ask, mendicant, ask! For I have arrived.”	sn1.20	18	2	sn	1.20	 With Samiddhi 
sn1.20:19.1	Then the Buddha addressed the deity in verse:	sn1.20	19	1	sn	1.20	 With Samiddhi 
sn1.20:20.1	“Sentient beings who perceive the communicable,	sn1.20	20	1	sn	1.20	 With Samiddhi 
sn1.20:20.2	become established in the communicable.	sn1.20	20	2	sn	1.20	 With Samiddhi 
sn1.20:20.3	Not understanding the communicable,	sn1.20	20	3	sn	1.20	 With Samiddhi 
sn1.20:20.4	they fall under the yoke of Death.	sn1.20	20	4	sn	1.20	 With Samiddhi 
sn1.20:21.1	But having fully understood the communicable,	sn1.20	21	1	sn	1.20	 With Samiddhi 
sn1.20:21.2	they don’t identify as a communicator,	sn1.20	21	2	sn	1.20	 With Samiddhi 
sn1.20:21.3	for they have nothing	sn1.20	21	3	sn	1.20	 With Samiddhi 
sn1.20:21.4	by which they might be described.	sn1.20	21	4	sn	1.20	 With Samiddhi 
sn1.20:21.5	Tell me if you understand, spirit.”	sn1.20	21	5	sn	1.20	 With Samiddhi 
sn1.20:22.1	“I don’t understand the detailed meaning of the Buddha’s brief statement.	sn1.20	22	1	sn	1.20	 With Samiddhi 
sn1.20:22.2	Please teach me this matter so I can understand the detailed meaning.”	sn1.20	22	2	sn	1.20	 With Samiddhi 
sn1.20:23.1	“If you think that ‘I’m equal,	sn1.20	23	1	sn	1.20	 With Samiddhi 
sn1.20:23.2	special, or worse’, you’ll get into arguments.	sn1.20	23	2	sn	1.20	 With Samiddhi 
sn1.20:23.3	Unwavering in the face of the three discriminations,	sn1.20	23	3	sn	1.20	 With Samiddhi 
sn1.20:23.4	you’ll have no thought ‘I’m equal or special’.	sn1.20	23	4	sn	1.20	 With Samiddhi 
