word	id	name	desc	word_trans	pts_ref	seg_id
aṅgaka	Aṅgaka	Aṅgaka	<dd><p>Nephew (sister’s son) of Soṇadaṇḍa. <span class='ref'>DN.i.123</span></p></dd>	angaka	DN.i.123	DN.i.123
aṅgīrasi	Aṅgīrasa1	Aṅgīrasi	<dd><p>A term of affection (Radiant One) used by Pañcasikha in addressing Suriyavaccasā. <span class='ref'>DN.ii.265</span></p></dd>	angirasi	DN.ii.265	DN.ii.265
aṅgīrasi	Aṅgīrasa2	Aṅgīrasa	<dd><p>One of the ten ancient seers who conducted great sacrifices and were versed in Vedic lore. The others being Aṭṭhaka, Vāmaka, Vāmadeva, Vessāmitta, Yamataggi, Bhāradvāja, Vāseṭṭha, Kassapa and Bhagu. The list occurs in several places. <span class='ref'>Vin.i.245</span> <span class='ref'>AN.iii.224</span> <span class='ref'>MN.ii.169</span> <span class='ref'>MN.ii.200</span></p><p>The same ten are also mentioned as being composers and reciters of the Vedas. <span class='ref'>DN.i.238</span></p></dd>	angirasi	Vin.i.245	Vin.i.245
aṅgīrasi	Aṅgīrasa2	Aṅgīrasa	<dd><p>One of the ten ancient seers who conducted great sacrifices and were versed in Vedic lore. The others being Aṭṭhaka, Vāmaka, Vāmadeva, Vessāmitta, Yamataggi, Bhāradvāja, Vāseṭṭha, Kassapa and Bhagu. The list occurs in several places. <span class='ref'>Vin.i.245</span> <span class='ref'>AN.iii.224</span> <span class='ref'>MN.ii.169</span> <span class='ref'>MN.ii.200</span></p><p>The same ten are also mentioned as being composers and reciters of the Vedas. <span class='ref'>DN.i.238</span></p></dd>	angirasi	AN.iii.224	AN.iii.224
aṅgīrasi	Aṅgīrasa2	Aṅgīrasa	<dd><p>One of the ten ancient seers who conducted great sacrifices and were versed in Vedic lore. The others being Aṭṭhaka, Vāmaka, Vāmadeva, Vessāmitta, Yamataggi, Bhāradvāja, Vāseṭṭha, Kassapa and Bhagu. The list occurs in several places. <span class='ref'>Vin.i.245</span> <span class='ref'>AN.iii.224</span> <span class='ref'>MN.ii.169</span> <span class='ref'>MN.ii.200</span></p><p>The same ten are also mentioned as being composers and reciters of the Vedas. <span class='ref'>DN.i.238</span></p></dd>	angirasi	MN.ii.169	MN.ii.169
aṅgīrasi	Aṅgīrasa2	Aṅgīrasa	<dd><p>One of the ten ancient seers who conducted great sacrifices and were versed in Vedic lore. The others being Aṭṭhaka, Vāmaka, Vāmadeva, Vessāmitta, Yamataggi, Bhāradvāja, Vāseṭṭha, Kassapa and Bhagu. The list occurs in several places. <span class='ref'>Vin.i.245</span> <span class='ref'>AN.iii.224</span> <span class='ref'>MN.ii.169</span> <span class='ref'>MN.ii.200</span></p><p>The same ten are also mentioned as being composers and reciters of the Vedas. <span class='ref'>DN.i.238</span></p></dd>	angirasi	MN.ii.200	MN.ii.200
aṅgīrasi	Aṅgīrasa2	Aṅgīrasa	<dd><p>One of the ten ancient seers who conducted great sacrifices and were versed in Vedic lore. The others being Aṭṭhaka, Vāmaka, Vāmadeva, Vessāmitta, Yamataggi, Bhāradvāja, Vāseṭṭha, Kassapa and Bhagu. The list occurs in several places. <span class='ref'>Vin.i.245</span> <span class='ref'>AN.iii.224</span> <span class='ref'>MN.ii.169</span> <span class='ref'>MN.ii.200</span></p><p>The same ten are also mentioned as being composers and reciters of the Vedas. <span class='ref'>DN.i.238</span></p></dd>	angirasi	DN.i.238	DN.i.238
aṅgulimāla	Aṅgulimāla	Aṅgulimāla	<dd><p>A robber and murderer who was converted by the Buddha in the twentieth year of his ministry, and who later became an arahant. <span class='ref'>MN86</span></p><p>As a result of his deeds whole villages were deserted, and the king ordered a detachment of men to seize the bandit. Aṅgulimāla was converted by the Buddha’s power and received the “<i>ehi bhikkhu pabbajjā</i>” <span class='ref'>Thag.868–870</span> while the populace were yelling at the king’s palace for the robber’s life. Later, the Buddha presented him before King Pasenadi when the latter came to Jetavana, and Pasenadi, filled with wonder, offered to provide the monk with all requisites. Aṅgulimāla, however, had taken on the dhutangas and refused the king’s offer.</p><p>When he entered Sāvatthī for alms, he was attacked by the mob, but on the admonition of the Buddha, endured their wrath as penance for his former misdeeds.</p><p>He eased a woman’s labour pains by an act of truth. The words he used in this saccakiriyā (<i>yato aham bhagini ariyāya jātiyā jāto</i>) have come to be regarded as a paritta to ward off all dangers and constitute the Aṅgulimāla Paritta.</p><p>In the Aṅgulimāla Sutta he is addressed by Pasenadi as Gagga Mantānīputta, his father being a Gagga.</p><p>It was on his account that the rule not to ordain a captured robber was enacted. <span class='ref'>Vin.i.74</span></p></dd>	angulimala	MN86	MN86
aṅgulimāla	Aṅgulimāla	Aṅgulimāla	<dd><p>A robber and murderer who was converted by the Buddha in the twentieth year of his ministry, and who later became an arahant. <span class='ref'>MN86</span></p><p>As a result of his deeds whole villages were deserted, and the king ordered a detachment of men to seize the bandit. Aṅgulimāla was converted by the Buddha’s power and received the “<i>ehi bhikkhu pabbajjā</i>” <span class='ref'>Thag.868–870</span> while the populace were yelling at the king’s palace for the robber’s life. Later, the Buddha presented him before King Pasenadi when the latter came to Jetavana, and Pasenadi, filled with wonder, offered to provide the monk with all requisites. Aṅgulimāla, however, had taken on the dhutangas and refused the king’s offer.</p><p>When he entered Sāvatthī for alms, he was attacked by the mob, but on the admonition of the Buddha, endured their wrath as penance for his former misdeeds.</p><p>He eased a woman’s labour pains by an act of truth. The words he used in this saccakiriyā (<i>yato aham bhagini ariyāya jātiyā jāto</i>) have come to be regarded as a paritta to ward off all dangers and constitute the Aṅgulimāla Paritta.</p><p>In the Aṅgulimāla Sutta he is addressed by Pasenadi as Gagga Mantānīputta, his father being a Gagga.</p><p>It was on his account that the rule not to ordain a captured robber was enacted. <span class='ref'>Vin.i.74</span></p></dd>	angulimala	Thag.868–870	Thag.868
aṅgulimāla	Aṅgulimāla	Aṅgulimāla	<dd><p>A robber and murderer who was converted by the Buddha in the twentieth year of his ministry, and who later became an arahant. <span class='ref'>MN86</span></p><p>As a result of his deeds whole villages were deserted, and the king ordered a detachment of men to seize the bandit. Aṅgulimāla was converted by the Buddha’s power and received the “<i>ehi bhikkhu pabbajjā</i>” <span class='ref'>Thag.868–870</span> while the populace were yelling at the king’s palace for the robber’s life. Later, the Buddha presented him before King Pasenadi when the latter came to Jetavana, and Pasenadi, filled with wonder, offered to provide the monk with all requisites. Aṅgulimāla, however, had taken on the dhutangas and refused the king’s offer.</p><p>When he entered Sāvatthī for alms, he was attacked by the mob, but on the admonition of the Buddha, endured their wrath as penance for his former misdeeds.</p><p>He eased a woman’s labour pains by an act of truth. The words he used in this saccakiriyā (<i>yato aham bhagini ariyāya jātiyā jāto</i>) have come to be regarded as a paritta to ward off all dangers and constitute the Aṅgulimāla Paritta.</p><p>In the Aṅgulimāla Sutta he is addressed by Pasenadi as Gagga Mantānīputta, his father being a Gagga.</p><p>It was on his account that the rule not to ordain a captured robber was enacted. <span class='ref'>Vin.i.74</span></p></dd>	angulimala	Vin.i.74	Vin.i.74
aciravata	Aciravata	Aciravata	<dd><p>A novice who had a conversation with Prince Jayasena on the life of the bhikkhu. Aciravata repeats this conversation to the Buddha who thereupon preaches the Dantabhūmi Sutta. <span class='ref'>MN.iii.128<em>ff.</em></span></p><p>The novice is throughout addressed as Aggivessana.</p></dd>	aciravata	MN.iii.128<em>ff.</em>	MN.iii.128
acelakassapa	Acelakassapa1	Acelakassapa	<dd><p>A naked ascetic. He visited the Buddha at Ujuññā in the Kaṇṇa-katthala deer-park and asked him if it were true that he disparaged all penance and reviled ascetics. Their conversation is recorded in the Kassapa-Sīhanāda Sutta. <span class='ref'>DN.i.161<em>ff.</em></span> After the usual four months’ probation, he joined the Order and in due course became an arahant. <span class='ref'>DN.i.177</span></p><p>In the Majjhima Nikāya <span class='ref'>MN.iii.124<em>ff.</em></span> we are told that he was an old friend of Bakkula Thera, and that after a conversation with him. obtained his ordination under him.</p><p>The Kassapa mentioned in the Acela Sutta <span class='ref'>SN.ii.18<em>f.</em></span> is probably the same person, though the stories of their conversions are different.</p></dd>	acelakassapa	DN.i.161<em>ff.</em>	DN.i.161
acelakassapa	Acelakassapa1	Acelakassapa	<dd><p>A naked ascetic. He visited the Buddha at Ujuññā in the Kaṇṇa-katthala deer-park and asked him if it were true that he disparaged all penance and reviled ascetics. Their conversation is recorded in the Kassapa-Sīhanāda Sutta. <span class='ref'>DN.i.161<em>ff.</em></span> After the usual four months’ probation, he joined the Order and in due course became an arahant. <span class='ref'>DN.i.177</span></p><p>In the Majjhima Nikāya <span class='ref'>MN.iii.124<em>ff.</em></span> we are told that he was an old friend of Bakkula Thera, and that after a conversation with him. obtained his ordination under him.</p><p>The Kassapa mentioned in the Acela Sutta <span class='ref'>SN.ii.18<em>f.</em></span> is probably the same person, though the stories of their conversions are different.</p></dd>	acelakassapa	DN.i.177	DN.i.177
acelakassapa	Acelakassapa1	Acelakassapa	<dd><p>A naked ascetic. He visited the Buddha at Ujuññā in the Kaṇṇa-katthala deer-park and asked him if it were true that he disparaged all penance and reviled ascetics. Their conversation is recorded in the Kassapa-Sīhanāda Sutta. <span class='ref'>DN.i.161<em>ff.</em></span> After the usual four months’ probation, he joined the Order and in due course became an arahant. <span class='ref'>DN.i.177</span></p><p>In the Majjhima Nikāya <span class='ref'>MN.iii.124<em>ff.</em></span> we are told that he was an old friend of Bakkula Thera, and that after a conversation with him. obtained his ordination under him.</p><p>The Kassapa mentioned in the Acela Sutta <span class='ref'>SN.ii.18<em>f.</em></span> is probably the same person, though the stories of their conversions are different.</p></dd>	acelakassapa	MN.iii.124<em>ff.</em>	MN.iii.124
acelakassapa	Acelakassapa1	Acelakassapa	<dd><p>A naked ascetic. He visited the Buddha at Ujuññā in the Kaṇṇa-katthala deer-park and asked him if it were true that he disparaged all penance and reviled ascetics. Their conversation is recorded in the Kassapa-Sīhanāda Sutta. <span class='ref'>DN.i.161<em>ff.</em></span> After the usual four months’ probation, he joined the Order and in due course became an arahant. <span class='ref'>DN.i.177</span></p><p>In the Majjhima Nikāya <span class='ref'>MN.iii.124<em>ff.</em></span> we are told that he was an old friend of Bakkula Thera, and that after a conversation with him. obtained his ordination under him.</p><p>The Kassapa mentioned in the Acela Sutta <span class='ref'>SN.ii.18<em>f.</em></span> is probably the same person, though the stories of their conversions are different.</p></dd>	acelakassapa	SN.ii.18<em>f.</em>	SN.ii.18
acelakassapa	Acelakassapa2	Acelakassapa	<dd><p>An old family friend of Cittagapahati. Having been for thirty years a <i>paribbājaka</i>, he admits to Citta that he had thereby obtained no particular excellence of knowledge. Citta tells him of his own attainments and Kassapa expresses a desire to enter the Order. He is duly ordained, and shortly afterwards becomes an arahant. <span class='ref'>SN.iv.300<em>ff.</em></span></p></dd>	acelakassapa	SN.iv.300<em>ff.</em>	SN.iv.300
accuta	Accuta	Accuta	<dd><p>A Pacceka Buddha, mentioned in a list of Pacceka Buddhas. <span class='ref'>MN.iii.70</span></p></dd>	accuta	MN.iii.70	MN.iii.70
accutagāmabyāmaka	Accutagāmabyāmaka	Accutagāmabyāmaka	<dd><p>One of the Pacceka Buddhas in a nominal list. <span class='ref'>MN.iii.70</span></p></dd>	accutagamabyamaka	MN.iii.70	MN.iii.70
accutadevā	Accutadevā	Accutadevā	<dd><p>A class of devas mentioned among those assembled on the occasion of the preaching of the Mahāsamaya Sutta. <span class='ref'>DN.ii.260</span></p></dd>	accutadeva	DN.ii.260	DN.ii.260
ajakalāpaka	Ajakalāpaka	Ajakalāpaka	<dd><p>A Yakkha who tried to frighten the Buddha, but who, later, became his disciple. <span class='ref'>Ud.4–5</span></p></dd>	ajakalapaka	Ud.4–5	Ud.4
ajātasattu	Ajātasattu	Ajātasattu	<dd><p>Son of Bimbisāra, King of Māgadha, and therefore half-brother to Abhayarājakumāra. He murdered his father to gain the throne, and conspired with Devadatta to kill the Buddha, but was later converted. He had a son Udāyibhadda. <span class='ref'>DN.i.50</span></p><p>Ajātasattu was greatly impressed by Devadatta’s powers of <i>iddhi</i> and became his devoted follower. <span class='ref'>Vin.ii.185</span> He built for him a monastery at Gayāsīsa and waited upon him morning and evening carrying food for him, sometimes as much as five hundred cartloads in five hundred cooking pans. <span class='ref'>SN.ii.242</span></p><p>Devadatta incited him to seize the throne, killing his father if necessary. When Bimbisāra learnt of the prince’s intentions he abdicated in his favour. But Devadatta was not satisfied till Bimbisāra, who was one of the Buddha’s foremost supporters, was killed.</p><p>Ajātasattu helped Devadatta in several of the latter’s attempts to kill the Buddha.</p><p>Later he was filled with remorse for these past misdeeds as he confesses himself; <span class='ref'>DN.i.85</span> but evidently, for very shame, he refrained from visiting the Buddha till he was won over by the persuasions of his physician Jīvaka Komārabhacca. And when in the end he did go to the Buddha, it was in great fear and trembling; so nervous was he that he imagined conspirators in the very silence surrounding the Buddha where he dwelt in the monastery, in Jīvaka’s Mango grove at Rājagaha. <span class='ref'>DN.i.49–50</span></p><p>It was on the occasion of this visit that the Sāmaññaphala Sutta was preached. The king admits that he had been to various teachers before, but had failed to find satisfaction in their teachings. It is noteworthy that the Buddha greets the king cordially on his arrival and makes no mention whatever of the king’s impiety. Instead, when Ajātasattu expresses his repentance at the end of the discourse, the Buddha accepts his confession and lets him off almost too lightly. But after the king had departed the Buddha tells the monks how the king’s misdeeds had wrought his undoing both in this world and the next, for if he had not been guilty of them, the Eye of Truth would have been opened for him on the occasion of this sermon. <span class='ref'>DN.i.85–86</span></p><p>Henceforth the king became a loyal adherent of the Buddha’s faith, though, as far as we know, he never waited again either upon the Buddha or upon any member of the Order for the discussion of ethical matters. He was so full of love and respect for the Buddha that when he heard of Upaka Maṇḍikāputta having spoken rather impolitely to the Buddha, he at once flew into a rage. <span class='ref'>AN.ii.182</span></p><p>Bimbisāra had married a sister of Pasenadi, and when he was killed she died of grief.</p><p>The revenue of a Kāsī village had been given to her by her father, Mahākosala, as part of her dowry, but after Bimbisāra’s murder, Pasenadi refused to continue it. Thereupon Ajātasattu declared war on his uncle. Before this, uncle and nephew seem to have been on very friendly terms. Once Ajātasattu sent Pasenadi a wonderful piece of foreign fabric, sixteen cubits long and eight broad, mounted on a pole to serve as a canopy. This Pasenadi gave to Ānanda. <span class='ref'>MN.ii.116</span></p><p>At first he was victorious in three battles, but, later, he was defeated by Pasenadi, who followed the military advice of an old monk, the Elder Dhanuggahatissa; Ajātasattu was taken captive with his army. On giving an undertaking not to resort to violence again, he was released, and to seal the friendship, Pasenadi gave him his daughter Vajirā as wife, and the revenue of the disputed village was gifted to her as bath-money. <span class='ref'>SN.i.82–85</span></p><p>Later, when through the treachery of Pasenadi’s minister, Dīgha Kārāyana, his son Viḍūḍabha usurped the throne, Pasenadi, finding himself deserted, went towards Rājagaha to seek Ajātasattu’s help, but on the way he died of exposure and Ajātasattu gave him burial.</p><p>About a year before the Buddha’s death, Ajātasattu sent his chief minister and confidant, the brahmin Vassakāra, to the Buddha to intimate to him his desire to make war on the Vajjians and to find out what prediction the Buddha would make regarding his chances of victory. The Buddha informed the brahmin that the Vajjians practised the seven conditions of welfare which they had learnt from him, and that they were therefore invincible. <span class='ref'>DN.ii.72<em>f.</em></span> The Saṁyutta Nikāya mentions the Buddha as saying that the time would come when the Vajjians would relinquish their strenuous mode of living and that then would come Ajātasattu’s chance. <span class='ref'>SN.ii.268</span></p><p>Rumours are mentioned of King Candappajjota making preparations for a war on Ajātasattu to avenge the death of his friend Bimbisāra, but no mention is made of actual fighting. <span class='ref'>MN.iii.7</span></p><p>It was he who built the fortress of Pāṭāliputta, which later became the capital of Māgadha.</p></dd>	ajatasattu	DN.i.50	DN.i.50
ajātasattu	Ajātasattu	Ajātasattu	<dd><p>Son of Bimbisāra, King of Māgadha, and therefore half-brother to Abhayarājakumāra. He murdered his father to gain the throne, and conspired with Devadatta to kill the Buddha, but was later converted. He had a son Udāyibhadda. <span class='ref'>DN.i.50</span></p><p>Ajātasattu was greatly impressed by Devadatta’s powers of <i>iddhi</i> and became his devoted follower. <span class='ref'>Vin.ii.185</span> He built for him a monastery at Gayāsīsa and waited upon him morning and evening carrying food for him, sometimes as much as five hundred cartloads in five hundred cooking pans. <span class='ref'>SN.ii.242</span></p><p>Devadatta incited him to seize the throne, killing his father if necessary. When Bimbisāra learnt of the prince’s intentions he abdicated in his favour. But Devadatta was not satisfied till Bimbisāra, who was one of the Buddha’s foremost supporters, was killed.</p><p>Ajātasattu helped Devadatta in several of the latter’s attempts to kill the Buddha.</p><p>Later he was filled with remorse for these past misdeeds as he confesses himself; <span class='ref'>DN.i.85</span> but evidently, for very shame, he refrained from visiting the Buddha till he was won over by the persuasions of his physician Jīvaka Komārabhacca. And when in the end he did go to the Buddha, it was in great fear and trembling; so nervous was he that he imagined conspirators in the very silence surrounding the Buddha where he dwelt in the monastery, in Jīvaka’s Mango grove at Rājagaha. <span class='ref'>DN.i.49–50</span></p><p>It was on the occasion of this visit that the Sāmaññaphala Sutta was preached. The king admits that he had been to various teachers before, but had failed to find satisfaction in their teachings. It is noteworthy that the Buddha greets the king cordially on his arrival and makes no mention whatever of the king’s impiety. Instead, when Ajātasattu expresses his repentance at the end of the discourse, the Buddha accepts his confession and lets him off almost too lightly. But after the king had departed the Buddha tells the monks how the king’s misdeeds had wrought his undoing both in this world and the next, for if he had not been guilty of them, the Eye of Truth would have been opened for him on the occasion of this sermon. <span class='ref'>DN.i.85–86</span></p><p>Henceforth the king became a loyal adherent of the Buddha’s faith, though, as far as we know, he never waited again either upon the Buddha or upon any member of the Order for the discussion of ethical matters. He was so full of love and respect for the Buddha that when he heard of Upaka Maṇḍikāputta having spoken rather impolitely to the Buddha, he at once flew into a rage. <span class='ref'>AN.ii.182</span></p><p>Bimbisāra had married a sister of Pasenadi, and when he was killed she died of grief.</p><p>The revenue of a Kāsī village had been given to her by her father, Mahākosala, as part of her dowry, but after Bimbisāra’s murder, Pasenadi refused to continue it. Thereupon Ajātasattu declared war on his uncle. Before this, uncle and nephew seem to have been on very friendly terms. Once Ajātasattu sent Pasenadi a wonderful piece of foreign fabric, sixteen cubits long and eight broad, mounted on a pole to serve as a canopy. This Pasenadi gave to Ānanda. <span class='ref'>MN.ii.116</span></p><p>At first he was victorious in three battles, but, later, he was defeated by Pasenadi, who followed the military advice of an old monk, the Elder Dhanuggahatissa; Ajātasattu was taken captive with his army. On giving an undertaking not to resort to violence again, he was released, and to seal the friendship, Pasenadi gave him his daughter Vajirā as wife, and the revenue of the disputed village was gifted to her as bath-money. <span class='ref'>SN.i.82–85</span></p><p>Later, when through the treachery of Pasenadi’s minister, Dīgha Kārāyana, his son Viḍūḍabha usurped the throne, Pasenadi, finding himself deserted, went towards Rājagaha to seek Ajātasattu’s help, but on the way he died of exposure and Ajātasattu gave him burial.</p><p>About a year before the Buddha’s death, Ajātasattu sent his chief minister and confidant, the brahmin Vassakāra, to the Buddha to intimate to him his desire to make war on the Vajjians and to find out what prediction the Buddha would make regarding his chances of victory. The Buddha informed the brahmin that the Vajjians practised the seven conditions of welfare which they had learnt from him, and that they were therefore invincible. <span class='ref'>DN.ii.72<em>f.</em></span> The Saṁyutta Nikāya mentions the Buddha as saying that the time would come when the Vajjians would relinquish their strenuous mode of living and that then would come Ajātasattu’s chance. <span class='ref'>SN.ii.268</span></p><p>Rumours are mentioned of King Candappajjota making preparations for a war on Ajātasattu to avenge the death of his friend Bimbisāra, but no mention is made of actual fighting. <span class='ref'>MN.iii.7</span></p><p>It was he who built the fortress of Pāṭāliputta, which later became the capital of Māgadha.</p></dd>	ajatasattu	Vin.ii.185	Vin.ii.185
